NAME1,GENDER1,AGE,EMAIL,PNUMBER,ADDRESS,UNAME,PASSWORD
tamil,male,01,tam@gmail.com,9055555521,ingu,tam,12345
soundarya,female,30,tam@gmail.com,9071008822,trichy ,sound,123
soundarya,female,30,tam@gmail.com,9071008822,trichy ,sound,123
chan,male,23,chan@gmail.com,9090876589,where,chan,123321
vasanth,male,20,vasanth@gmail.com,8587549862,trichy,vasanth,12345
prasanth,male,21,prasanth@gmail.com,9856214586,trichy,prasanth112,123456
aasd,male,22,aasd@gmail.com,9865321478,trichy,aasd,1234
prasana,female,20,prasana@gmail.com,8956232578,trichy,prasana1,123456
vasanth,male,22,dsds@gmail.com,1245215420,trichy,vasanth,12345
varun,male,21,varun@gmail.com,7845124578,trichy,varun12,121212
